FIPS,Adult obesity raw value,Poor or fair health raw value,Unemployment raw value
1000,0.3359118585,0.219,0.0680015329
1001,0.309,0.194,0.0588304691
1003,0.267,0.16,0.0605372021
1005,0.408,0.257,0.1080927484
1007,0.401,0.22,0.0713785047
1009,0.324,0.207,0.0614690826
1011,0.445,0.293,0.0908313742
1013,0.36,0.274,0.0857019345
1015,0.32,0.223,0.0791918847
1017,0.398,0.258,0.0674786043
1019,0.327,0.198,0.0585007523
1021,0.371,0.208,0.0628105225
1023,0.387,0.254,0.0906452333
1025,0.361,0.258,0.1246759659
1027,0.377,0.231,0.0721630555
1029,0.3,0.181,0.0671408744
1031,0.302,0.208,0.0668381735
1033,0.366,0.214,0.0820702865
1035,0.372,0.314,0.1073666019
1037,0.388,0.247,0.0884090909
1039,0.316,0.214,0.0776108046
1041,0.366,0.233,0.0695067265
1043,0.347,0.198,0.0609690786
1045,0.362,0.211,0.071530127
1047,0.424,0.3,0.1156410745
1049,0.306,0.228,0.06941197
1051,0.303,0.182,0.0577224375
1053,0.394,0.265,0.0822178385
1055,0.347,0.228,0.0702877599
1057,0.324,0.222,0.0789683171
1059,0.342,0.232,0.0779268382
1061,0.347,0.22,0.0674209404
1063,0.459,0.36,0.1263333333
1065,0.359,0.292,0.0980136763
1067,0.352,0.206,0.0744227092
1069,0.336,0.211,0.0680956417
1071,0.306,0.207,0.0720844418
1073,0.337,0.191,0.0630850487
1075,0.325,0.223,0.0713899405
1077,0.316,0.192,0.0718057509
1079,0.363,0.198,0.0824277953
1081,0.295,0.217,0.05593292
1083,0.335,0.19,0.0610262456
1085,0.464,0.315,0.1290322581
1087,0.424,0.311,0.0913408842
1089,0.312,0.184,0.0616129108
1091,0.413,0.288,0.0804264841
1093,0.349,0.229,0.0805098684
1095,0.35,0.22,0.066989997
1097,0.361,0.236,0.077042138
1099,0.372,0.26,0.1130146082
1101,0.336,0.237,0.0691161602
1103,0.322,0.19,0.0662019033
1105,0.378,0.337,0.1244933411
1107,0.374,0.26,0.0822452551
1109,0.341,0.255,0.0729159647
1111,0.332,0.224,0.0686231726
1113,0.348,0.251,0.0662904928
1115,0.331,0.204,0.058025013
1117,0.313,0.138,0.045232954
1119,0.396,0.332,0.088517196
1121,0.376,0.249,0.0768129224
1123,0.365,0.241,0.0765328628
1125,0.327,0.2,0.0595494835
1127,0.329,0.223,0.0767212103
1129,0.36,0.215,0.0988407566
1131,0.444,0.336,0.1737451737
1133,0.287,0.217,0.0877174486
2000,0.2840288432,0.132,0.0679669031
2013,0.311,0.17,0.0458593054
2016,0.362,0.14,0.0493324282
2020,0.27,0.12,0.0514144603
2050,0.316,0.239,0.1598634812
2060,0.341,0.125,0.0801603206
2068,0.247,0.11,0.1009345794
2070,0.353,0.212,0.0993470149
2090,0.286,0.11,0.0574715083
2100,0.265,0.119,0.1045987376
2110,0.27,0.099,0.0505814287
2122,0.28,0.125,0.0779434374
2130,0.293,0.126,0.0759707372
2150,0.293,0.123,0.0565210821
2164,0.324,0.206,0.1538461538
2170,0.289,0.121,0.0800760473
2180,0.333,0.238,0.1212410501
2185,0.353,0.145,0.0580212668
2188,0.325,0.227,0.1666122182
2201,0.353,0.171,0.1329046088
2220,0.27,0.114,0.0510529675
2232,0.312,0.1417543297,0.1372045221
2240,0.33,0.133,0.1303462322
2261,0.304,0.119,0.0953739556
2270,0.344,0.32,0.2366843034
2280,0.296,0.1239956553,0.0937384216
2282,0.321,0.13,0.0974729242
